Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Fujita K.; Ando A.; Ijima Y.,"Fujita, Kenichi (57340319300); Ando, Atsushi (57139809100); Ijima, Yusuke (34969290800)",57340319300; 57139809100; 34969290800,Speech Rhythm-Based Speaker Embeddings Extraction from Phonemes and Phoneme Duration for Multi-Speaker Speech Synthesis,2024,IEICE Transactions on Information and Systems,E107.D,1,,93,104,11,0,10.1587/transinf.2023EDP7039,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182603374&doi=10.1587%2ftransinf.2023EDP7039&partnerID=40&md5=069eac871cb0ab43ed5c2169d4a16143,"This paper proposes a speech rhythm-based method for speaker embeddings to model phoneme duration using a few utterances by the target speaker. Speech rhythm is one of the essential factors among speaker characteristics, along with acoustic features such as F0, for reproducing individual utterances in speech synthesis. A novel feature of the proposed method is the rhythm-based embeddings extracted from phonemes and their durations, which are known to be related to speaking rhythm. They are extracted with a speaker identification model similar to the conventional spectral feature-based one. We conducted three experiments, speaker embeddings generation, speech synthesis with generated embeddings, and embedding space analysis, to evaluate the performance. The proposed method demonstrated a moderate speaker identification performance (15.2% EER), even with only phonemes and their duration information. The objective and subjective evaluation results demonstrated that the proposed method can synthesize speech with speech rhythm closer to the target speaker than the conventional method. We also visualized the embeddings to evaluate the relationship between the distance of the embeddings and the perceptual similarity. The visualization of the embedding space and the relation analysis between the closeness indicated that the distribution of embeddings reflects the subjective and objective similarity. Copyright © 2024 The Institute of Electronics, Information and Communication Engineers.",phoneme duration; speaker embedding; speech rhythm; speech synthesis,Embeddings; Loudspeakers; Speech recognition; Acoustic features; Embeddings; Identification modeling; Phoneme duration; Speaker characteristics; Speaker embedding; Speaker identification; Spectral feature; Speech rhythm; Target speaker; Speech synthesis,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85182603374
Zheng R.-C.; Ai Y.; Ling Z.-H.,"Zheng, Rui-Chen (58202616600); Ai, Yang (57200444155); Ling, Zhen-Hua (24473163500)",58202616600; 57200444155; 24473163500,Incorporating Ultrasound Tongue Images for Audio-Visual Speech Enhancement,2024,IEEE/ACM Transactions on Audio Speech and Language Processing,32,,,1430,1444,14,1,10.1109/TASLP.2024.3361376,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184336978&doi=10.1109%2fTASLP.2024.3361376&partnerID=40&md5=ebe53014cc3f05542471d5c92295f65d,"Audio-visual speech enhancement (AV-SE) aims to enhance degraded speech along with extra visual information such as lip videos, and has been shown to be more effective than audio-only speech enhancement. This paper proposes the incorporation of ultrasound tongue images to improve the performance of lip-based AV-SE systems further. To address the challenge of acquiring ultrasound tongue images during inference, we first propose to employ knowledge distillation during training to investigate the feasibility of leveraging tongue-related information without directly inputting ultrasound tongue images. Specifically, we guide an audio-lip speech enhancement student model to learn from a pre-trained audio-lip-tongue speech enhancement teacher model, thus transferring tongue-related knowledge. To better model the alignment between the lip and tongue modalities, we further propose the introduction of a lip-tongue key-value memory network into the AV-SE model. This network enables the retrieval of tongue features based on readily available lip features, thereby assisting the subsequent speech enhancement task. Experimental results demonstrate that both methods significantly improve the quality and intelligibility of the enhanced speech compared to traditional lip-based AV-SE baselines. Moreover, both proposed methods exhibit strong generalization performance on unseen speakers and in the presence of unseen noises. Furthermore, phone error rate (PER) analysis of automatic speech recognition (ASR) reveals that while all phonemes benefit from introducing ultrasound tongue images, palatal and velar consonants benefit most.  © 2014 IEEE.",Audio-visual speech enhancement; knowledge distillation; memory network; ultrasound tongue image,Distillation; Image enhancement; Knowledge management; Speech enhancement; Speech intelligibility; Speech recognition; Teaching; Audio-visual speech; Audio-visual speech enhancement; Knowledge distillation; Lip; Memory network; Performance; Tongue; Ultrasound tongue image; Video; Visual information; Ultrasonic imaging,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85184336978
Borgstrom B.J.; Brandstein M.S.,"Borgstrom, Bengt J. (36109984700); Brandstein, Michael S. (6603951674)",36109984700; 6603951674,A Multiscale Autoencoder (MSAE) Framework for End-to-End Neural Network Speech Enhancement,2024,IEEE/ACM Transactions on Audio Speech and Language Processing,32,,,2418,2431,13,1,10.1109/TASLP.2024.3389632,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190787904&doi=10.1109%2fTASLP.2024.3389632&partnerID=40&md5=44c0c7a61a39351e6b8b288840e454af,"Neural network approaches to single-channel speech enhancement have received much recent attention. In particular, mask-based architectures have achieved significant performance improvements over conventional methods. This paper proposes a multiscale autoencoder (MSAE) for mask-based end-to-end neural network speech enhancement. The MSAE performs spectral decomposition of an input waveform within separate band-limited branches, each operating with a different rate and scale, to extract a sequence of multiscale embeddings. The proposed framework features intuitive parameterization of the autoencoder, including a flexible spectral band design based on the Constant-Q transform. Additionally, the MSAE is constructed entirely of differentiable operators, allowing it to be implemented within an end-to-end neural network, and be discriminatively trained. The MSAE draws motivation both from recent multiscale network topologies and from traditional multiresolution transforms in speech processing. Experimental results show the MSAE to provide clear performance benefits relative to conventional single-branch autoencoders. Additionally, the proposed framework is shown to outperform a variety of state-of-the-art enhancement systems, both in terms of objective speech quality metrics and automatic speech recognition accuracy. © 2014 IEEE.",end-to-end neural networks; multiscale representations; mutliresolution transforms; Speech enhancement,Learning systems; Neural networks; Speech recognition; Decoding; Ear; End to end; End-to-end neural network; Multiscale representations; Mutliresolution transform; Neural-networks; Signal resolution; Time-frequency Analysis; Speech enhancement,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85190787904
Lu J.; Zhang Q.; Cao J.; Tian H.,"Lu, Jing (57155247800); Zhang, Qiang (59707744400); Cao, Jialu (59708678800); Tian, Hui (45861574300)",57155247800; 59707744400; 59708678800; 45861574300,DDFNet: A Dual-Domain Fusion Network for Robust Synthetic Speech Detection,2025,Big Data and Cognitive Computing,9,3,58,,,,0,10.3390/bdcc9030058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105000949520&doi=10.3390%2fbdcc9030058&partnerID=40&md5=1dad5723b9e40458ae9e97c7f90e7eac,"The detection of synthetic speech has become a pressing challenge due to the potential societal risks posed by synthetic speech technologies. Existing methods primarily focus on either the time or frequency domain of speech, limiting their ability to generalize to new and diverse speech synthesis algorithms. In this work, we present a novel and scientifically grounded approach, the Dual-domain Fusion Network (DDFNet), which synergistically integrates features from both the time and frequency domains to capture complementary information. The architecture consists of two specialized single-domain feature extraction networks, each optimized for the unique characteristics of its respective domain, and a feature fusion network that effectively combines these features at a deep level. Moreover, we incorporate multi-task learning to simultaneously capture rich, multi-faceted representations, further enhancing the model’s generalization capability. Extensive experiments on the ASVspoof 2019 Logical Access corpus and ASVspoof 2021 tracks demonstrate that DDFNet achieves strong performance, maintaining competitive results despite the challenges posed by channel changes and compression coding, highlighting its robust generalization ability. © 2025 by the authors.",Dual-domain fusion; multi-task learning; speech forensics; synthetic speech detection,Frequency domain analysis; Speech recognition; Dual domain; Dual-domain fusion; Multitask learning; Pressung; Societal risks; Speech detection; Speech forensics; Speech technology; Synthetic speech; Synthetic speech detection; Multi-task learning,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-105000949520
Wang Q.; Lopez Moreno I.,"Wang, Quan (57204051224); Lopez Moreno, Ignacio (56303939400)",57204051224; 56303939400,Version control of speaker recognition systems,2024,Journal of Systems and Software,216,,112122,,,,0,10.1016/j.jss.2024.112122,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195877611&doi=10.1016%2fj.jss.2024.112122&partnerID=40&md5=e28a280f3d5efa9749d9a3ed11ba28ae,"This paper discusses one of the most challenging practical engineering problems in speaker recognition systems — the version control of models and user profiles. A typical speaker recognition system consists of two stages: the enrollment stage, where a profile is generated from user-provided enrollment audio; and the runtime stage, where the voice identity of the runtime audio is compared against the stored profiles. As technology advances, the speaker recognition system needs to be updated for better performance. However, if the stored user profiles are not updated accordingly, version mismatch will result in meaningless recognition results. In this paper, we describe different version control strategies for speaker recognition systems that had been carefully studied at Google from years of engineering practice. These strategies are categorized into three groups according to how they are deployed in the production environment: device-side deployment, server-side deployment, and hybrid deployment. To compare different strategies with quantitative metrics under various network configurations, we present SpeakerVerSim, an easily-extensible Python-based simulation framework for different server-side deployment strategies of speaker recognition systems. © 2024 Elsevier Inc.",Biometrics; Deployment; Simulation; Speaker recognition; Version control,Information management; Python; Speech recognition; User profile; Deployment; Practical engineering problems; Runtimes; Server sides; Simulation; Speaker recognition; Speaker recognition system; User's profiles; Version control; Voice identities; Computer software,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85195877611
Klüber K.; Schwaiger K.; Onnasch L.,"Klüber, Kim (57373544000); Schwaiger, Katharina (59563352600); Onnasch, Linda (35111634600)",57373544000; 59563352600; 35111634600,Affect-Enhancing Speech Characteristics for Robotic Communication,2025,International Journal of Social Robotics,17,2,922503,315,333,18,0,10.1007/s12369-025-01221-w,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218190084&doi=10.1007%2fs12369-025-01221-w&partnerID=40&md5=c96950a4b1893e6a9a26527c13808434,"The attribution of mind to others, either humans or artificial agents, can be conceptualized along two dimensions: experience and agency. These dimensions are crucial in interactions with robots, influencing how they are perceived and treated by humans. Specifically, a higher attribution of agency to robots is associated with greater perceived responsibility, while a higher attribution of experience enhances sympathy towards them. One potential strategy to increase the attribution of experience to robots is the application of affective communication induced via prosody and verbal content such as emotional words and speech style. In two online studies (NI = 30, NII = 60), participants listened to audio recordings in which robots introduced themselves. In study II, robot pictures were additionally presented to investigate potential matching effects between appearance and speech. Our results showed that both the use of emotional words and speaking expressively significantly increased the attributed experience of robots, whereas the attribution of agency remained unaffected. Findings further indicate that speaking expressively and using emotional words enhanced the perception of human-like qualities in artificial communication partners, with a more pronounced effect observed for technical robots compared to human-like robots. These insights can be used to improve the affective impact of synthesized robot speech and thus potentially increase the acceptance of robots to ensure long-term use. © The Author(s) 2025.",Affect; Human–robot interaction; Mind perception; Speech perception; Trust,Human robot interaction; Microrobots; Nanorobots; Sensory perception; Speech communication; Speech enhancement; Speech recognition; Affect; Artificial agents; Attribution of mind; Emotional words; Human agent; Humans-robot interactions; Mind perception; Speech perception; Trust; Two-dimensions; Audio recordings,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85218190084
Shen S.; Liu F.; Wang H.; Wang Y.; Zhou A.,"Shen, Siyuan (57371563200); Liu, Feng (57218659451); Wang, Hanyang (57258596800); Wang, Yunlong (59370554900); Zhou, Aimin (36648271300)",57371563200; 57218659451; 57258596800; 59370554900; 36648271300,Temporal Shift Module with Pretrained Representations for Speech Emotion Recognition,2024,Intelligent Computing,3,,0073,,,,6,10.34133/icomputing.0073,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199612576&doi=10.34133%2ficomputing.0073&partnerID=40&md5=4daebe05fe2538860f8cdde2141a8c06,"Recent advances in self-supervised models have led to effective pretrained speech representations in downstream speech emotion recognition tasks. However, previous research has primarily focused on exploiting pretrained representations by simply adding a linear head on top of the pretrained model, while overlooking the design of the downstream network. In this paper, we propose a temporal shift module with pretrained representations to integrate channel-wise information without introducing additional parameters or floating-point operations per second. By incorporating the temporal shift module, we developed corresponding shift variants for 3 baseline building blocks: ShiftCNN, ShiftLSTM, and Shiftformer. Furthermore, we propose 2 technical strategies, placement and proportion of shift, to balance the trade-off between mingling and misalignment. Our family of temporal shift models outperforms state-of-the-art methods on the benchmark Interactive Emotional Dyadic Motion Capture dataset in fine-tuning and feature-extraction scenarios. In addition, through comprehensive experiments using wav2vec 2.0 and Hidden-Unit Bidirectional Encoder Representations from Transformers representations, we identified the behavior of the temporal shift module in downstream models, which may serve as an empirical guideline for future exploration of channel-wise shift and downstream network design. © 2024 Siyuan Shen et al.",,Integrated circuit design; Speech recognition; Building blockes; Down-stream; Downstream networks; Floating point operations per seconds; Shift-variant; Speech emotion recognition; State-of-the-art methods; Technical strategy; Temporal shifts; Trade off; Emotion Recognition,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85199612576
Jung S.; Kim H.; Park H.; Choi A.,"Jung, Sunghoon (55740726600); Kim, Hanmoe (59564813600); Park, Hyunseo (59564608100); Choi, Ahyoung (57193550851)",55740726600; 59564813600; 59564608100; 57193550851,"Integrated AI System for Real-Time Sports Broadcasting: Player Behavior, Game Event Recognition, and Generative AI Commentary in Basketball Games",2025,Applied Sciences (Switzerland),15,3,1543,,,,0,10.3390/app15031543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218257267&doi=10.3390%2fapp15031543&partnerID=40&md5=363b7360bb323b0b82945c1c5118eb1d,"This study presents an AI-based sports broadcasting system capable of real-time game analysis and automated commentary. The model first acquires essential background knowledge, including the court layout, game rules, team information, and player details. YOLO model-based segmentation is applied for a local camera view to enhance court recognition accuracy. Player’s actions and ball tracking is performed through YOLO algorithms. In each frame, the YOLO detection model is used to detect the bounding boxes of the players. Then, we proposed our tracking algorithm, which computed the IoU from previous frames and linked together to track the movement paths of the players. Player behavior is achieved via the R(2+1)D action recognition model including player actions such as running, dribbling, shooting, and blocking. The system demonstrates high performance, achieving an average accuracy of 97% in court calibration, 92.5% in player and object detection, and 85.04% in action recognition. Key game events are identified based on positional and action data, with broadcast lines generated using GPT APIs and converted to natural audio commentary via Text-to-Speech (TTS). This system offers a comprehensive framework for automating sports broadcasting with advanced AI techniques. © 2025 by the authors.",commentary generation; court segmentation; sports activity recognition,Human computer interaction; Image segmentation; Metadata; Program debugging; Speech enhancement; Speech recognition; Action recognition; Activity recognition; AI systems; Commentary generation; Court segmentation; Event recognition; Player behavior; Real- time; Sport activity recognition; Sports activity; Basketball,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85218257267
Chutia T.; Baruah N.,"Chutia, Tulika (59212816100); Baruah, Nomi (57188715299)",59212816100; 57188715299,A review on emotion detection by using deep learning techniques,2024,Artificial Intelligence Review,57,8,203,,,,4,10.1007/s10462-024-10831-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198075954&doi=10.1007%2fs10462-024-10831-1&partnerID=40&md5=1999b284ee9ecdbab6f364c987dca143,"Along with the growth of Internet with its numerous potential applications and diverse fields, artificial intelligence (AI) and sentiment analysis (SA) have become significant and popular research areas. Additionally, it was a key technology that contributed to the Fourth Industrial Revolution (IR 4.0). The subset of AI known as emotion recognition systems facilitates communication between IR 4.0 and IR 5.0. Nowadays users of social media, digital marketing, and e-commerce sites are increasing day by day resulting in massive amounts of unstructured data. Medical, marketing, public safety, education, human resources, business, and other industries also use the emotion recognition system widely. Hence it provides a large amount of textual data to extract the emotions from them. The paper presents a systematic literature review of the existing literature published between 2013 to 2023 in text-based emotion detection. This review scrupulously summarized 330 research papers from different conferences, journals, workshops, and dissertations. This paper explores different approaches, methods, different deep learning models, key aspects, description of datasets, evaluation techniques, Future prospects of deep learning, challenges in existing studies and presents limitations and practical implications. © The Author(s) 2024.",BERT; Bi-LSTM; Deep learning; Emotion detection; LSTM,Accident prevention; Commerce; Learning systems; Long short-term memory; Marketing; Speech recognition; Application fields; BERT; Bi-LSTM; Deep learning; Diverse fields; Emotion detection; Emotion recognition; Learning techniques; LSTM; Recognition systems; Emotion Recognition,Article,Final,All Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85198075954
Behdad M.; Gharavian D.,"Behdad, Majid (58482353400); Gharavian, Davood (24075697400)",58482353400; 24075697400,MetricCycleGAN-VC: Forcing CycleGAN-Based Voice Conversion Systems to Associate with Objective Quality Metrics,2024,IEEE Access,12,,,154631,154649,18,0,10.1109/ACCESS.2024.3471926,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205868859&doi=10.1109%2fACCESS.2024.3471926&partnerID=40&md5=e75105ee89aec7b2c8208ce55f9e3fa0,"In CycleGAN-based voice conversion (VC) systems, such as MaskCycleGAN-VC, similar to many other GAN-based VC systems, adversarial losses are not explicitly designed to optimize VC evaluation metrics. Consequently, the generator may not consistently improve the metric scores related to VC assessments, such as the Mel-Cepstral Distance (MCD). To address this, we propose MetricCycleGAN-VC, which optimizes discriminators based on one or more VC evaluation metrics in a black-box strategy. Our approach covers various metrics related to VC quality triple aspects: speaker similarity, speech naturalness, and intelligibility. We Examine different well-known speech-related metrics such as MCD, Short-Time Objective of Intelligibility (STOI), neural tools such as Non-Intrusive objective Speech Quality Assessment (NISQA), and a newly proposed metric called Speaker Embedding Cosine Similarity (SECS). We also leverage full-reference image quality metrics like Feature-based similarity index Measure (FSIM) and combine all these intrusive, and non-intrusive metrics Within a unified framework for non-parallel voice conversion. While our method allows the utilization of all existing or newly developed quality metrics, this will be done without compromising their structural integrity or requiring knowledge of their formulation. Experimental results demonstrate improved desired metrics in both inter- and intra-gender conversions, showcasing the superiority of our approach over MaskCycleGAN-VC a typical baseline and many state-of-the-art VC systems. A key strength of our proposed method is its adaptability to evolving VC quality metrics, promising even better results as more precise metrics are introduced and implemented.  © 2013 IEEE.",CycleGAN-VC; DEM problem; FSIM metric; Mel-Cepstral distance (MCD); MetricGAN; NISQA tool; Resemblyzer; speaker similarity; speech perceptual evaluation; STOI measure,Arts computing; Speech enhancement; Speech recognition; Assessment tool; Cepstral; Cyclegan-voice conversion; Feature-based similarities; Feature-based similarity index measure metric; Mel-cepstral distance; Metricgan; Non-intrusive; Non-intrusive objective speech quality assessment tool; Objective speech quality assessment; Perceptual evaluation; Perceptual optimization; Resemblyzer; Short-time objective of intelligibility measure; Similarity indices; Speaker similarity; Speech perceptual evaluation; Voice conversion; Discriminators,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85205868859
